Code,Mapping,Exclude,Notes,,,,
HPAWT,Health and Physical Education,,,,,,
HPBAD,Health and Physical Education,Exclude,,,,,
HPBG,Health and Physical Education,,,,,,
HPBLS,Health and Physical Education,,,,,,
HPBOE,Health and Physical Education,Exclude,,,,,
HPBRD,Health and Physical Education,Exclude,,,,,
HPBRG,Health and Physical Education,,,,,,
HPBS,Health and Physical Education,,,,,,
HPBTF,Health and Physical Education,Exclude,,,,,
HPBTS,Health and Physical Education,,,,,,
HPG1,Health and Physical Education,,,,,,
HPG2,Health and Physical Education,,,,,,
HPG3,Health and Physical Education,,,,,,
HPG4,Health and Physical Education,,,,,,
HPIAD,Health and Physical Education,Exclude,,,,,
HPIG,Health and Physical Education,Exclude,,,,,
HPILS,Health and Physical Education,,,,,,
HPIOE,Health and Physical Education,Exclude,,,,,
HPIRD,Health and Physical Education,Exclude,,,,,
HPIRG,Health and Physical Education,,,,,,
HPITF,Health and Physical Education,Exclude,,,,,
HPITS,Health and Physical Education,,,,,,
HPPC,Health and Physical Education,,,,,,
HPPF,Health and Physical Education,,,,,,
HPWT,Health and Physical Education,Exclude,,,,,
HSASK,Special Education,,New group Special Education,,,,
HSSSK,Special Education,,New group Special Education,,,,
IAO1,Fine Arts,,,,,,
IAO2,Fine Arts,,,,,,
IAO3,Fine Arts,,,,,,
IAO4,Fine Arts,,,,,,
IBO1,Fine Arts,,,,,,
IBO2,Fine Arts,,,,,,
IBO3,Fine Arts,,,,,,
IBO4,Fine Arts,,,,,,
IIAO1,Fine Arts,,,,,,
IIAO2,Fine Arts,,,,,,
IIAO3,Fine Arts,,,,,,
IIAO4,Fine Arts,,,,,,
IIO1,Fine Arts,,,,,,
IIO2,Fine Arts,,,,,,
IIO3,Fine Arts,,,,,,
IIO4,Fine Arts,,,,,,
IPO,Fine Arts,,,,,,
ITAI,Career and Technical Education,Exclude,,,,,
ITAIA,Career and Technical Education,Exclude,,,,,
ITAIC,Career and Technical Education,Exclude,,,,,
ITCC,Career and Technical Education,,,,,,
ITCP,Career and Technical Education,,,,,,
ITICHT,Career and Technical Education,,,,,,
ITID,Career and Technical Education,,,,,,
ITIST,Career and Technical Education,,,,,,
ITSIS,Career and Technical Education,,,,,,
KASK,Special Education,,New group Special Education; any item starting with K needs to be listed with Elementary level (K for Kindergarten),,,,
KCS,Career and Technical Education,,any item starting with K needs to be listed with Elementary level (K for Kindergarten),,,,
KFT,Fine Arts,,any item starting with K needs to be listed with Elementary level (K for Kindergarten),,,,
KFV,Fine Arts,,any item starting with K needs to be listed with Elementary level (K for Kindergarten),,,,
KGM,Fine Arts,,any item starting with K needs to be listed with Elementary level (K for Kindergarten),,,,
KHE,Health and Physical Education,,any item starting with K needs to be listed with Elementary level (K for Kindergarten),,,,
KLA,Language Arts,,any item starting with K needs to be listed with Elementary level (K for Kindergarten),,,,
KMA,Mathematics,,any item starting with K needs to be listed with Elementary level (K for Kindergarten),,,,
KMASP,Mathematics,,any item starting with K needs to be listed with Elementary level (K for Kindergarten),,,,
KPE,Health and Physical Education,,any item starting with K needs to be listed with Elementary level (K for Kindergarten),,,,
KPT,Modern/Classical Language,Exclude,any item starting with K needs to be listed with Elementary level (K for Kindergarten),,,,
KSC,Science,,any item starting with K needs to be listed with Elementary level (K for Kindergarten),,,,
KSCE,Science,,any item starting with K needs to be listed with Elementary level (K for Kindergarten),,,,
KSS,Social Studies,,any item starting with K needs to be listed with Elementary level (K for Kindergarten),,,,
KSSK,Special Education,,New group Special Education; any item starting with K needs to be listed with Elementary level (K for Kindergarten),,,,
KSTE,Science,,any item starting with K needs to be listed with Elementary level (K for Kindergarten),,,,
MAFA,Mathematics,,,,,,
MFA,Mathematics,,,,,,
RACCE,Career and Technical Education,Exclude,,,,,
RACCI,Career and Technical Education,Exclude,,,,,
RACCO,Career and Technical Education,Exclude,,,,,
TADATS2,Career and Technical Education,,,,,,
VWAC1,Fine Arts,Exclude,,,,,
VWAC2,Fine Arts,Exclude,,,,,
VWAC3,Fine Arts,Exclude,,,,,
VWAC4,Fine Arts,Exclude,,,,,
VWBC1,Fine Arts,Exclude,,,,,
VWBC2,Fine Arts,Exclude,,,,,
VWBC3,Fine Arts,Exclude,,,,,
VWBC4,Fine Arts,Exclude,,,,,
VWIC1,Fine Arts,Exclude,,,,,
VWIC2,Fine Arts,Exclude,,,,,
VWIC3,Fine Arts,Exclude,,,,,
VWIC4,Fine Arts,Exclude,,,,,
VWMC1,Fine Arts,Exclude,,,,,
VWMC2,Fine Arts,Exclude,,,,,
VWMC3,Fine Arts,Exclude,,,,,
VWMC4,Fine Arts,Exclude,,,,,
